lga_sk,lga
369,Pormpuraaw
370,Port Adelaide Enfield
371,Port Augusta
372,Port Hedland
373,Port Lincoln
374,Port Macquarie-Hastings
375,Port Phillip
376,Port Pirie
377,Port Stephens
378,Prospect
379,Pyrenees
380,Quairading
381,Queanbeyan-Palerang
382,Quilpie
383,Randwick
384,Ravensthorpe
385,Redland
386,Renmark Paringa
387,Richmond
388,Richmond Valley
389,Robe
390,Rockhampton
391,Rockingham
392,Roper Gulf
393,Ryde
394,Salisbury
395,Sandstone
396,Scenic Rim
397,Serpentine-Jarrahdale
398,Shark Bay
399,Shellharbour
400,Shoalhaven
401,Singleton
402,Snowy Monaro
403,Snowy Valleys
404,Somerset
405,Sorell
406,South Burnett
407,South Gippsland
408,South Perth
409,Southern Downs
410,Southern Grampians
411,Southern Mallee
412,Southern Midlands
413,Stirling
414,Stonnington
415,Strathbogie
416,Strathfield
417,Streaky Bay
418,Subiaco
419,Sunshine Coast
420,Surf Coast
421,Sutherland
422,Swan
423,Swan Hill
424,Sydney
425,Tablelands
426,Tamworth
427,Tasman
428,Tatiara
429,Tea Tree Gully
430,Temora
431,Tenterfield
432,The Hills
433,Toodyay
434,Toowoomba
435,Townsville
436,Towong
437,Trayning
438,Tumby Bay
439,Tweed
440,Unincorporated ACT
441,Unincorporated NSW
442,Unincorporated NT
443,Unincorporated SA
444,Unincorporated Vic
445,Unley
446,Upper Hunter
447,Upper Lachlan
448,Uralla
449,Victor Harbor
450,Victoria Daly
451,Victoria Park
452,Victoria Plains
453,Vincent
454,Wagait
455,Wagga Wagga
456,Wagin
457,Wakefield
458,Walcha
459,Walgett
460,Walkerville
461,Wandering
462,Wangaratta
463,Wanneroo
464,Waratah-Wynyard
465,Waroona
466,Warren
467,Warrnambool
468,Warrumbungle
469,Wattle Range
470,Waverley
471,Weddin
472,Weipa
473,Wellington
474,Wentworth
475,West Arnhem
476,West Arthur
477,West Coast
478,West Daly
479,West Tamar
480,West Torrens
481,West Wimmera
482,Western Downs
483,Westonia
484,Whitehorse
485,Whitsunday
486,Whittlesea
487,Whyalla
488,Wickepin
489,Williams
490,Willoughby
491,Wingecarribee
492,Wodonga
493,Wollondilly
494,Wollongong
495,Wongan-Ballidu
496,Woodanilling
497,Woollahra
498,Wudinna
499,Wyndham
500,Wyndham-East Kimberley
501,Yankalilla
502,Yarra
503,Yarra Ranges
504,Yarrabah
505,Yarriambiack
506,Yass Valley
507,Yilgarn
508,York
509,Yorke Peninsula
