date_sk,dayweek,day_of_week,month,year
928,Tuesday,Weekday,11,2018
929,Tuesday,Weekday,12,2023
930,Tuesday,Weekday,9,2014
931,Tuesday,Weekday,9,2019
932,Tuesday,Weekday,10,2023
933,Tuesday,Weekday,8,2019
934,Tuesday,Weekday,11,2019
935,Tuesday,Weekday,1,2014
936,Tuesday,Weekday,7,2019
937,Tuesday,Weekday,12,2019
938,Tuesday,Weekday,6,2019
939,Tuesday,Weekday,8,2014
940,Tuesday,Weekday,7,2014
941,Tuesday,Weekday,1,2020
942,Tuesday,Weekday,5,2019
943,Tuesday,Weekday,9,2023
944,Tuesday,Weekday,4,2019
945,Tuesday,Weekday,11,2023
946,Tuesday,Weekday,2,2020
947,Tuesday,Weekday,3,2019
948,Tuesday,Weekday,3,2020
949,Tuesday,Weekday,2,2019
950,Tuesday,Weekday,4,2020
951,Tuesday,Weekday,1,2019
952,Tuesday,Weekday,5,2020
953,Tuesday,Weekday,12,2018
954,Tuesday,Weekday,12,2020
955,Tuesday,Weekday,1,2018
956,Tuesday,Weekday,2,2018
957,Tuesday,Weekday,12,2017
958,Tuesday,Weekday,3,2017
959,Tuesday,Weekday,12,2014
960,Tuesday,Weekday,2,2017
961,Tuesday,Weekday,5,2024
962,Tuesday,Weekday,9,2021
963,Tuesday,Weekday,1,2017
964,Tuesday,Weekday,12,2016
965,Tuesday,Weekday,10,2021
966,Tuesday,Weekday,11,2016
967,Tuesday,Weekday,3,2014
968,Tuesday,Weekday,1,2021
969,Tuesday,Weekday,11,2021
970,Tuesday,Weekday,4,2023
971,Tuesday,Weekday,12,2021
972,Tuesday,Weekday,9,2016
973,Tuesday,Weekday,6,2024
974,Tuesday,Weekday,8,2016
975,Tuesday,Weekday,1,2015
976,Tuesday,Weekday,1,2022
977,Tuesday,Weekday,7,2016
978,Tuesday,Weekday,2,2022
979,Tuesday,Weekday,6,2016
980,Tuesday,Weekday,10,2016
981,Tuesday,Weekday,5,2023
982,Tuesday,Weekday,8,2021
983,Tuesday,Weekday,1,2023
984,Tuesday,Weekday,10,2017
985,Tuesday,Weekday,11,2014
986,Tuesday,Weekday,3,2021
987,Tuesday,Weekday,4,2017
988,Tuesday,Weekday,9,2017
989,Tuesday,Weekday,4,2021
990,Tuesday,Weekday,8,2017
991,Tuesday,Weekday,5,2021
992,Tuesday,Weekday,6,2023
993,Tuesday,Weekday,11,2017
994,Tuesday,Weekday,4,2014
995,Tuesday,Weekday,6,2021
996,Tuesday,Weekday,2,2021
997,Tuesday,Weekday,6,2017
998,Tuesday,Weekday,5,2017
999,Tuesday,Weekday,7,2021
1000,Tuesday,Weekday,11,2024
1001,Tuesday,Weekday,4,2024
1002,Tuesday,Weekday,3,2024
1003,Wednesday,Weekday,11,2014
1004,Wednesday,Weekday,11,2024
1005,Wednesday,Weekday,5,2014
1006,Wednesday,Weekday,8,2014
1007,Wednesday,Weekday,12,2014
1008,Wednesday,Weekday,3,2014
1009,Wednesday,Weekday,10,2014
1010,Wednesday,Weekday,3,2015
1011,Wednesday,Weekday,9,2014
1012,Wednesday,Weekday,6,2014
1013,Wednesday,Weekday,2,2014
1014,Wednesday,Weekday,2,2015
1015,Wednesday,Weekday,1,2015
1016,Wednesday,Weekday,12,2024
1017,Wednesday,Weekday,8,2018
1018,Wednesday,Weekday,4,2015
1019,Wednesday,Weekday,12,2020
1020,Wednesday,Weekday,11,2020
1021,Wednesday,Weekday,7,2023
1022,Wednesday,Weekday,10,2020
1023,Wednesday,Weekday,9,2020
1024,Wednesday,Weekday,8,2020
1025,Wednesday,Weekday,7,2020
1026,Wednesday,Weekday,8,2023
1027,Wednesday,Weekday,6,2020
1028,Wednesday,Weekday,5,2020
1029,Wednesday,Weekday,4,2020
1030,Wednesday,Weekday,3,2020
1031,Wednesday,Weekday,2,2020
1032,Wednesday,Weekday,9,2023
1033,Wednesday,Weekday,1,2020
1034,Wednesday,Weekday,12,2019
1035,Wednesday,Weekday,11,2019
1036,Wednesday,Weekday,10,2019
1037,Wednesday,Weekday,10,2023
1038,Wednesday,Weekday,9,2019
1039,Wednesday,Weekday,8,2019
1040,Wednesday,Weekday,7,2019
1041,Wednesday,Weekday,6,2019
1042,Wednesday,Weekday,5,2019
1043,Wednesday,Weekday,11,2023
1044,Wednesday,Weekday,1,2021
1045,Wednesday,Weekday,4,2019
1046,Wednesday,Weekday,2,2021
1047,Wednesday,Weekday,6,2023
1048,Wednesday,Weekday,12,2022
1049,Wednesday,Weekday,11,2022
1050,Wednesday,Weekday,10,2022
1051,Wednesday,Weekday,9,2022
1052,Wednesday,Weekday,2,2023
1053,Wednesday,Weekday,8,2022
1054,Wednesday,Weekday,7,2022
1055,Wednesday,Weekday,6,2022
1056,Wednesday,Weekday,5,2022
1057,Wednesday,Weekday,3,2023
1058,Wednesday,Weekday,4,2022
1059,Wednesday,Weekday,3,2022
1060,Wednesday,Weekday,2,2022
1061,Wednesday,Weekday,1,2022
1062,Wednesday,Weekday,12,2021
1063,Wednesday,Weekday,4,2023
1064,Wednesday,Weekday,11,2021
1065,Wednesday,Weekday,10,2021
1066,Wednesday,Weekday,9,2021
1067,Wednesday,Weekday,8,2021
1068,Wednesday,Weekday,5,2023
1069,Wednesday,Weekday,7,2021
1070,Wednesday,Weekday,6,2021
1071,Wednesday,Weekday,5,2021
1072,Wednesday,Weekday,4,2021
1073,Wednesday,Weekday,3,2021
1074,Wednesday,Weekday,10,2024
1075,Wednesday,Weekday,3,2019
1076,Wednesday,Weekday,1,2019
1077,Wednesday,Weekday,1,2017
1078,Wednesday,Weekday,12,2016
1079,Wednesday,Weekday,11,2016
1080,Wednesday,Weekday,10,2016
1081,Wednesday,Weekday,6,2024
1082,Wednesday,Weekday,9,2016
1083,Wednesday,Weekday,8,2016
1084,Wednesday,Weekday,7,2016
1085,Wednesday,Weekday,6,2016
1086,Wednesday,Weekday,5,2016
1087,Wednesday,Weekday,7,2024
1088,Wednesday,Weekday,4,2016
1089,Wednesday,Weekday,3,2016
1090,Wednesday,Weekday,2,2016
1091,Wednesday,Weekday,1,2016
1092,Wednesday,Weekday,8,2024
1093,Wednesday,Weekday,12,2015
1094,Wednesday,Weekday,11,2015
1095,Wednesday,Weekday,10,2015
1096,Wednesday,Weekday,9,2015
1097,Wednesday,Weekday,8,2015
1098,Wednesday,Weekday,9,2024
1099,Wednesday,Weekday,7,2015
1100,Wednesday,Weekday,6,2015
1101,Wednesday,Weekday,5,2015
1102,Wednesday,Weekday,2,2017
1103,Wednesday,Weekday,2,2019
1104,Wednesday,Weekday,5,2024
1105,Wednesday,Weekday,4,2017
1106,Wednesday,Weekday,12,2023
1107,Wednesday,Weekday,12,2018
1108,Wednesday,Weekday,11,2018
1109,Wednesday,Weekday,10,2018
1110,Wednesday,Weekday,9,2018
1111,Wednesday,Weekday,1,2024
1112,Wednesday,Weekday,1,2023
1113,Wednesday,Weekday,7,2018
1114,Wednesday,Weekday,6,2018
1115,Wednesday,Weekday,5,2018
1116,Wednesday,Weekday,4,2018
1117,Wednesday,Weekday,2,2024
1118,Wednesday,Weekday,3,2018
1119,Wednesday,Weekday,2,2018
1120,Wednesday,Weekday,1,2018
1121,Wednesday,Weekday,12,2017
1122,Wednesday,Weekday,3,2024
1123,Wednesday,Weekday,11,2017
1124,Wednesday,Weekday,10,2017
1125,Wednesday,Weekday,9,2017
1126,Wednesday,Weekday,8,2017
1127,Wednesday,Weekday,7,2017
1128,Wednesday,Weekday,4,2024
1129,Wednesday,Weekday,6,2017
1130,Wednesday,Weekday,5,2017
1131,Wednesday,Weekday,3,2017
1132,Wednesday,Weekday,1,2014
