lga_sk,lga
371,Murrindindi
372,Murrindindi
373,Murrumbidgee
374,Murrumbidgee
375,Murweh
376,Muswellbrook
377,Nambucca Valley
378,Nannup
379,Naracoorte Lucindale
380,Narrabri
381,Narrandera
382,Narrogin
383,Narromine
384,Nedlands
385,Newcastle
386,Ngaanyatjarraku
387,Nillumbik
388,Noosa
389,North Burnett
390,North Sydney
391,Northam
392,Northampton
393,Northern Areas
394,Northern Beaches
395,Northern Grampians
396,Northern Midlands
397,Northern Peninsula Area
398,Norwood Payneham and St Peters
399,Nungarin
400,Oberon
401,Onkaparinga
402,Orange
403,Orroroo Carrieton
404,Palm Island
405,Palmerston
406,Parkes
407,Parramatta
408,Parramatta
409,Penrith
410,Penrith
411,Perenjori
412,Perth
413,Pingelly
414,Plantagenet
415,Playford
416,Pormpuraaw
417,Port Adelaide Enfield
418,Port Adelaide Enfield
419,Port Augusta
420,Port Hedland
421,Port Lincoln
422,Port Macquarie-Hastings
423,Port Phillip
424,Port Pirie
425,Port Stephens
426,Port Stephens
427,Prospect
428,Pyrenees
429,Quairading
430,Queanbeyan-Palerang
431,Quilpie
432,Randwick
433,Randwick
434,Ravensthorpe
435,Redland
436,Renmark Paringa
437,Richmond
438,Richmond Valley
439,Richmond Valley
440,Robe
441,Rockhampton
442,Rockingham
443,Roper Gulf
444,Ryde
445,Salisbury
446,Sandstone
447,Scenic Rim
448,Scenic Rim
449,Scenic Rim
450,Serpentine-Jarrahdale
451,Shark Bay
452,Shellharbour
453,Shoalhaven
454,Shoalhaven
455,Singleton
456,Snowy Monaro
457,Snowy Valleys
458,Somerset
459,Somerset
460,Sorell
461,South Burnett
462,South Gippsland
463,South Perth
464,Southern Downs
465,Southern Grampians
466,Southern Mallee
467,Southern Midlands
468,Stirling
469,Stirling
470,Stonnington
471,Stonnington
472,Strathbogie
473,Strathfield
474,Strathfield
475,Streaky Bay
476,Subiaco
477,Sunshine Coast
478,Sunshine Coast
479,Surf Coast
480,Surf Coast
481,Sutherland
482,Sutherland
483,Sutherland
484,Swan
485,Swan Hill
486,Sydney
487,Sydney
488,Tablelands
489,Tamworth
490,Tasman
491,Tatiara
492,Tea Tree Gully
493,Temora
494,Tenterfield
495,The Hills
496,The Hills
497,The Hills
498,Toodyay
499,Toowoomba
500,Toowoomba
501,Townsville
502,Towong
503,Trayning
504,Tumby Bay
505,Tweed
506,Unincorporated ACT
507,Unincorporated NSW
508,Unincorporated NT
509,Unincorporated NT
510,Unincorporated SA
511,Unincorporated Vic
512,Unincorporated Vic
513,Unley
514,Upper Hunter
515,Upper Lachlan
516,Uralla
517,Victor Harbor
518,Victoria Daly
519,Victoria Park
520,Victoria Plains
521,Vincent
522,Wagait
523,Wagga Wagga
524,Wagin
525,Wakefield
526,Walcha
527,Walgett
528,Walkerville
529,Wandering
530,Wangaratta
531,Wanneroo
532,Waratah-Wynyard
533,Waroona
534,Warren
535,Warrnambool
536,Warrumbungle
537,Warrumbungle
538,Wattle Range
539,Waverley
540,Weddin
541,Weipa
542,Wellington
543,Wentworth
544,West Arnhem
545,West Arthur
546,West Coast
547,West Daly
548,West Tamar
549,West Torrens
550,West Wimmera
551,Western Downs
552,Westonia
553,Whitehorse
554,Whitehorse
555,Whitsunday
556,Whittlesea
557,Whyalla
558,Wickepin
559,Williams
560,Willoughby
561,Wingecarribee
562,Wingecarribee
563,Wodonga
564,Wollondilly
565,Wollondilly
566,Wollondilly
567,Wollongong
568,Wongan-Ballidu
569,Woodanilling
570,Woollahra
571,Wudinna
572,Wyndham
573,Wyndham-East Kimberley
574,Yankalilla
575,Yarra
576,Yarra Ranges
577,Yarrabah
578,Yarriambiack
579,Yass Valley
580,Yilgarn
581,York
582,Yorke Peninsula
